eps,n,cost
0.001,10,39445.10
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,10,351937.09
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,20,677587.19
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,30,1049848.39
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,40,1222508.85
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,50,1650832.77
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,60,2120932.76
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,70,2301039.51
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,80,2822094.75
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,90,3003353.64
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.001,100,3175308.02
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,41167.69
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,10,402233.31
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,20,773700.46
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
0.0005,30,1198131.91
